,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
153,Meghalaya,2021,3,Financial Services,1556,2379067.1150075165
154,Meghalaya,2021,3,Others,5045,3937887.553600684
155,Meghalaya,2021,1,Peer-to-peer payments,326993,1794745857.3188953
156,Meghalaya,2021,1,Recharge & bill payments,306634,106098525.65614726
157,Meghalaya,2021,1,Merchant payments,108805,147747773.01896822
158,Meghalaya,2021,1,Financial Services,1777,3981898.0457751974
159,Meghalaya,2021,1,Others,3437,2941223.950049905
160,Meghalaya,2022,2,Peer-to-peer payments,977816,4359000096.157877
161,Meghalaya,2022,2,Merchant payments,591364,714995836.5962032
162,Meghalaya,2022,2,Recharge & bill payments,467745,200896879.69103926
163,Meghalaya,2022,2,Financial Services,1880,2406087.095158501
164,Meghalaya,2022,2,Others,5844,4192522.344518611
165,Meghalaya,2022,4,Peer-to-peer payments,1901671,7328913724.3339405
166,Meghalaya,2022,4,Merchant payments,1334431,1381013596.832624
167,Meghalaya,2022,4,Recharge & bill payments,685678,278377945.43169147
168,Meghalaya,2022,4,Financial Services,3544,3564357.119764914
169,Meghalaya,2022,4,Others,7124,4671532.630633753
170,Meghalaya,2022,3,Peer-to-peer payments,2050942,7796315453.507147
171,Meghalaya,2022,3,Merchant payments,1486098,1468318733.1353962
172,Meghalaya,2022,3,Recharge & bill payments,810017,330230375.9276109
173,Meghalaya,2022,3,Financial Services,3504,3106775.3857113793
174,Meghalaya,2022,3,Others,8604,5329459.165683068
175,Meghalaya,2022,1,Peer-to-peer payments,801009,3899172008.7001157
176,Meghalaya,2022,1,Recharge & bill payments,459530,192026788.60457045
177,Meghalaya,2022,1,Merchant payments,405859,563004043.9315958
178,Meghalaya,2022,1,Financial Services,2134,3019251.8598936894
179,Meghalaya,2022,1,Others,6218,5116238.235718384
180,Meghalaya,2020,2,Recharge & bill payments,382662,100570200.25271696
181,Meghalaya,2020,2,Peer-to-peer payments,202270,998750895.9111593
182,Meghalaya,2020,2,Merchant payments,46014,48980521.41595118
183,Meghalaya,2020,2,Financial Services,1186,2944583.114737345
184,Meghalaya,2020,2,Others,3263,2488953.643832149
185,Meghalaya,2020,4,Recharge & bill payments,350006,102794647.7641504
186,Meghalaya,2020,4,Peer-to-peer payments,286252,1579858348.0670543
187,Meghalaya,2020,4,Merchant payments,111471,115136797.58942303
188,Meghalaya,2020,4,Financial Services,1809,2774557.112070617
189,Meghalaya,2020,4,Others,4470,3678221.666272167
190,Meghalaya,2020,3,Recharge & bill payments,342484,97662913.13408674
191,Meghalaya,2020,3,Peer-to-peer payments,194448,1065012681.7126106
192,Meghalaya,2020,3,Merchant payments,55595,67511647.1349487
193,Meghalaya,2020,3,Financial Services,1587,4049966.8133478058
194,Meghalaya,2020,3,Others,3465,2821792.5880408054
195,Meghalaya,2020,1,Recharge & bill payments,226214,59666071.21530793
